"Species","Island","Clutch Completion","date_egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)","Comments","year_egg","culmen_area"
"Adelie Penguin","Dream","Yes",2007-11-13,41.1,19,182,3425,"MALE",NA,NA,"Not enough blood for isotopes.",2007,780.9
"Adelie Penguin","Dream","Yes",2007-11-13,37.5,18.9,179,2975,"FEMALE",NA,NA,"Sexing primers did not amplify. Not enough blood for isotopes.",2007,708.75
"Adelie Penguin","Dream","Yes",2007-11-13,36,17.9,190,3450,"FEMALE",9.51784,-25.07683,NA,2007,644.4
"Adelie Penguin","Dream","Yes",2007-11-13,42.3,21.2,191,4150,"MALE",8.87988,-25.18543,NA,2007,896.76
"Adelie Penguin","Biscoe","Yes",2008-11-06,39.6,17.7,186,3500,"FEMALE",8.46616,-26.12989,NA,2008,700.92
"Adelie Penguin","Biscoe","Yes",2008-11-06,40.1,18.9,188,4300,"MALE",8.51362,-26.55602,NA,2008,757.89
"Adelie Penguin","Biscoe","Yes",2008-11-09,35,17.9,190,3450,"FEMALE",8.19539,-26.17213,NA,2008,626.5
"Adelie Penguin","Biscoe","Yes",2008-11-09,42,19.5,200,4050,"MALE",8.48095,-26.3146,NA,2008,819
"Adelie Penguin","Biscoe","Yes",2008-11-09,34.5,18.1,187,2900,"FEMALE",8.41837,-26.54718,NA,2008,624.45
"Adelie Penguin","Biscoe","Yes",2008-11-09,41.4,18.6,191,3700,"MALE",8.35396,-26.27853,NA,2008,770.04
"Adelie Penguin","Biscoe","Yes",2008-11-15,39,17.5,186,3550,"FEMALE",8.57199,-26.07188,NA,2008,682.5
"Adelie Penguin","Biscoe","Yes",2008-11-15,40.6,18.8,193,3800,"MALE",8.56674,-25.98843,NA,2008,763.28
"Adelie Penguin","Biscoe","Yes",2008-11-15,36.5,16.6,181,2850,"FEMALE",9.07878,-25.88156,NA,2008,605.9
"Adelie Penguin","Biscoe","Yes",2008-11-15,37.6,19.1,194,3750,"MALE",9.108,-25.89677,NA,2008,718.16
"Adelie Penguin","Biscoe","Yes",2008-11-13,35.7,16.9,185,3150,"FEMALE",8.96472,-26.40943,NA,2008,603.33
"Adelie Penguin","Biscoe","Yes",2008-11-13,41.3,21.1,195,4400,"MALE",8.74802,-26.37809,NA,2008,871.43
"Adelie Penguin","Biscoe","Yes",2008-11-13,37.6,17,185,3600,"FEMALE",8.58063,-26.21569,NA,2008,639.2
"Adelie Penguin","Biscoe","Yes",2008-11-13,41.1,18.2,192,4050,"MALE",8.62264,-26.60023,NA,2008,748.02
"Adelie Penguin","Biscoe","Yes",2008-11-13,36.4,17.1,184,2850,"FEMALE",8.62623,-26.1165,NA,2008,622.44
"Adelie Penguin","Biscoe","Yes",2008-11-13,41.6,18,192,3950,"MALE",8.85562,-26.09294,NA,2008,748.8
"Adelie Penguin","Biscoe","Yes",2008-11-06,35.5,16.2,195,3350,"FEMALE",8.56192,-25.95541,NA,2008,575.1
"Adelie Penguin","Biscoe","Yes",2008-11-06,41.1,19.1,188,4100,"MALE",8.71078,-25.81012,NA,2008,785.01
"Adelie Penguin","Torgersen","No",2008-11-11,35.9,16.6,190,3050,"FEMALE",8.47781,-26.07821,"Nest never observed with full clutch.",2008,595.94
"Adelie Penguin","Torgersen","No",2008-11-11,41.8,19.4,198,4450,"MALE",8.86853,-26.06209,"Nest never observed with full clutch.",2008,810.92
"Adelie Penguin","Torgersen","Yes",2008-11-14,33.5,19,190,3600,"FEMALE",7.88863,-26.63085,NA,2008,636.5
"Adelie Penguin","Torgersen","Yes",2008-11-14,39.7,18.4,190,3900,"MALE",9.29808,-25.23453,NA,2008,730.48
"Adelie Penguin","Torgersen","Yes",2008-11-11,39.6,17.2,196,3550,"FEMALE",8.33524,-26.55351,NA,2008,681.12
"Adelie Penguin","Torgersen","Yes",2008-11-11,45.8,18.9,197,4150,"MALE",8.18658,-26.45978,NA,2008,865.62
"Adelie Penguin","Torgersen","Yes",2008-11-08,35.5,17.5,190,3700,"FEMALE",8.70642,-26.15003,NA,2008,621.25
"Adelie Penguin","Torgersen","Yes",2008-11-08,42.8,18.5,195,4250,"MALE",8.2993,-26.38986,NA,2008,791.8
"Adelie Penguin","Torgersen","Yes",2008-11-06,40.9,16.8,191,3700,"FEMALE",8.47257,-26.02002,NA,2008,687.12
"Adelie Penguin","Torgersen","Yes",2008-11-06,37.2,19.4,184,3900,"MALE",8.3554,-26.44787,NA,2008,721.68
"Adelie Penguin","Torgersen","Yes",2008-11-09,36.2,16.1,187,3550,"FEMALE",7.82381,-26.51382,NA,2008,582.82
"Adelie Penguin","Torgersen","Yes",2008-11-09,42.1,19.1,195,4000,"MALE",9.05736,-25.81513,NA,2008,804.11
"Adelie Penguin","Torgersen","Yes",2008-11-02,34.6,17.2,189,3200,"FEMALE",7.69778,-26.5387,NA,2008,595.12
"Adelie Penguin","Torgersen","Yes",2008-11-02,42.9,17.6,196,4700,"MALE",8.63259,-26.23027,NA,2008,755.04
"Adelie Penguin","Torgersen","Yes",2008-11-07,36.7,18.8,187,3800,"FEMALE",7.88494,-26.24837,NA,2008,689.96
"Adelie Penguin","Torgersen","Yes",2008-11-07,35.1,19.4,193,4200,"MALE",8.90002,-26.46254,NA,2008,680.94
"Adelie Penguin","Dream","Yes",2008-11-17,37.3,17.8,191,3350,"FEMALE",8.32718,-26.38396,NA,2008,663.94
"Adelie Penguin","Dream","Yes",2008-11-17,41.3,20.3,194,3550,"MALE",9.14863,-26.09635,NA,2008,838.39
"Adelie Penguin","Dream","Yes",2008-11-08,36.3,19.5,190,3800,"MALE",8.57087,-26.22227,NA,2008,707.85
"Adelie Penguin","Dream","Yes",2008-11-08,36.9,18.6,189,3500,"FEMALE",8.59147,-26.08165,NA,2008,686.34
"Adelie Penguin","Dream","Yes",2008-11-08,38.3,19.2,189,3950,"MALE",9.07826,-26.12417,NA,2008,735.36
"Adelie Penguin","Dream","Yes",2008-11-08,38.9,18.8,190,3600,"FEMALE",8.36936,-26.11199,NA,2008,731.32
"Adelie Penguin","Dream","Yes",2008-11-14,35.7,18,202,3550,"FEMALE",8.46531,-26.05621,NA,2008,642.6
"Adelie Penguin","Dream","Yes",2008-11-14,41.1,18.1,205,4300,"MALE",8.77018,-25.83352,NA,2008,743.91
"Adelie Penguin","Dream","Yes",2008-11-05,34,17.1,185,3400,"FEMALE",8.01485,-26.69543,NA,2008,581.4
"Adelie Penguin","Dream","Yes",2008-11-05,39.6,18.1,186,4450,"MALE",8.49915,-26.42406,NA,2008,716.76
"Adelie Penguin","Dream","Yes",2008-11-17,36.2,17.3,187,3300,"FEMALE",8.90723,-26.30037,NA,2008,626.26
"Adelie Penguin","Dream","Yes",2008-11-17,40.8,18.9,208,4300,"MALE",8.48204,-26.57941,NA,2008,771.12
"Adelie Penguin","Dream","Yes",2008-11-08,38.1,18.6,190,3700,"FEMALE",8.10277,-26.50086,NA,2008,708.66
"Adelie Penguin","Dream","Yes",2008-11-08,40.3,18.5,196,4350,"MALE",8.39459,-26.01152,NA,2008,745.55
"Adelie Penguin","Dream","Yes",2008-11-10,33.1,16.1,178,2900,"FEMALE",9.04218,-26.15775,NA,2008,532.91
"Adelie Penguin","Dream","Yes",2008-11-10,43.2,18.5,192,4100,"MALE",8.97025,-26.03679,NA,2008,799.2
"Adelie Penguin","Biscoe","Yes",2009-11-09,35,17.9,192,3725,"FEMALE",8.84451,-26.28055,NA,2009,626.5
"Adelie Penguin","Biscoe","Yes",2009-11-09,41,20,203,4725,"MALE",9.01079,-26.38085,NA,2009,820
"Adelie Penguin","Biscoe","Yes",2009-11-15,37.7,16,183,3075,"FEMALE",9.2151,-26.2253,NA,2009,603.2
"Adelie Penguin","Biscoe","Yes",2009-11-15,37.8,20,190,4250,"MALE",9.51929,-25.69199,NA,2009,756
"Adelie Penguin","Biscoe","Yes",2009-11-15,37.9,18.6,193,2925,"FEMALE",9.02642,-25.86482,NA,2009,704.94
"Adelie Penguin","Biscoe","Yes",2009-11-15,39.7,18.9,184,3550,"MALE",8.85699,-25.80208,NA,2009,750.33
"Adelie Penguin","Biscoe","Yes",2009-11-15,38.6,17.2,199,3750,"FEMALE",8.77322,-26.48973,NA,2009,663.92
"Adelie Penguin","Biscoe","Yes",2009-11-15,38.2,20,190,3900,"MALE",9.59245,-25.70711,NA,2009,764
"Adelie Penguin","Biscoe","Yes",2009-11-20,38.1,17,181,3175,"FEMALE",9.79532,-25.27385,NA,2009,647.7
"Adelie Penguin","Biscoe","Yes",2009-11-20,43.2,19,197,4775,"MALE",9.31735,-25.45171,NA,2009,820.8
"Adelie Penguin","Biscoe","Yes",2009-11-12,38.1,16.5,198,3825,"FEMALE",8.43951,-26.57563,NA,2009,628.65
"Adelie Penguin","Biscoe","Yes",2009-11-12,45.6,20.3,191,4600,"MALE",8.65466,-26.32909,NA,2009,925.68
"Adelie Penguin","Biscoe","Yes",2009-11-15,39.7,17.7,193,3200,"FEMALE",9.02657,-26.06203,NA,2009,702.69
"Adelie Penguin","Biscoe","Yes",2009-11-15,42.2,19.5,197,4275,"MALE",8.80186,-26.41218,NA,2009,822.9
"Adelie Penguin","Biscoe","Yes",2009-11-17,39.6,20.7,191,3900,"FEMALE",8.80967,-26.78958,NA,2009,819.72
"Adelie Penguin","Biscoe","Yes",2009-11-17,42.7,18.3,196,4075,"MALE",8.91434,-26.42018,NA,2009,781.41
"Adelie Penguin","Torgersen","Yes",2009-11-18,38.6,17,188,2900,"FEMALE",9.18021,-25.77264,NA,2009,656.2
"Adelie Penguin","Torgersen","Yes",2009-11-18,37.3,20.5,199,3775,"MALE",9.49645,-26.36678,NA,2009,764.65
"Adelie Penguin","Torgersen","Yes",2009-11-22,35.7,17,189,3350,"FEMALE",8.96436,-23.90309,NA,2009,606.9
"Adelie Penguin","Torgersen","Yes",2009-11-22,41.1,18.6,189,3325,"MALE",9.32277,-26.09989,NA,2009,764.46
"Adelie Penguin","Torgersen","No",2009-11-17,36.2,17.2,187,3150,"FEMALE",9.04296,-26.19444,"Nest never observed with full clutch.",2009,622.64
"Adelie Penguin","Torgersen","No",2009-11-17,37.7,19.8,198,3500,"MALE",9.11066,-26.42563,"Nest never observed with full clutch.",2009,746.46
"Adelie Penguin","Torgersen","Yes",2009-11-16,40.2,17,176,3450,"FEMALE",9.30722,-25.61039,NA,2009,683.4
"Adelie Penguin","Torgersen","Yes",2009-11-16,41.4,18.5,202,3875,"MALE",9.59462,-25.42621,NA,2009,765.9
"Adelie Penguin","Torgersen","Yes",2009-11-18,35.2,15.9,186,3050,"FEMALE",8.81668,-25.95399,NA,2009,559.68
"Adelie Penguin","Torgersen","Yes",2009-11-18,40.6,19,199,4000,"MALE",9.22537,-25.60826,NA,2009,771.4
"Adelie Penguin","Torgersen","Yes",2009-11-21,38.8,17.6,191,3275,"FEMALE",8.88098,-25.89741,NA,2009,682.88
"Adelie Penguin","Torgersen","Yes",2009-11-21,41.5,18.3,195,4300,"MALE",8.52566,-26.0245,NA,2009,759.45
"Adelie Penguin","Torgersen","Yes",2009-11-18,39,17.1,191,3050,"FEMALE",9.19031,-25.73722,NA,2009,666.9
"Adelie Penguin","Torgersen","Yes",2009-11-18,44.1,18,210,4000,"MALE",9.10702,-26.01363,NA,2009,793.8
"Adelie Penguin","Torgersen","No",2009-11-23,38.5,17.9,190,3325,"FEMALE",8.9846,-25.57956,"Nest never observed with full clutch.",2009,689.15
"Adelie Penguin","Torgersen","No",2009-11-23,43.1,19.2,197,3500,"MALE",8.86495,-26.1396,"Nest never observed with full clutch.",2009,827.52
"Adelie Penguin","Dream","Yes",2009-11-10,36.8,18.5,193,3500,"FEMALE",8.98705,-25.57647,NA,2009,680.8
"Adelie Penguin","Dream","Yes",2009-11-10,37.5,18.5,199,4475,"MALE",8.56708,-26.49288,NA,2009,693.75
"Adelie Penguin","Dream","Yes",2009-11-13,38.1,17.6,187,3425,"FEMALE",8.717,-25.77951,NA,2009,670.56
"Adelie Penguin","Dream","Yes",2009-11-13,41.1,17.5,190,3900,"MALE",8.94365,-26.06943,NA,2009,719.25
"Adelie Penguin","Dream","Yes",2009-11-16,35.6,17.5,191,3175,"FEMALE",8.75984,-25.97696,NA,2009,623
"Adelie Penguin","Dream","Yes",2009-11-16,40.2,20.1,200,3975,"MALE",8.95998,-26.32601,NA,2009,808.02
"Adelie Penguin","Dream","No",2009-11-16,37,16.5,185,3400,"FEMALE",8.61651,-26.07021,"Nest never observed with full clutch.",2009,610.5
"Adelie Penguin","Dream","No",2009-11-16,39.7,17.9,193,4250,"MALE",9.25769,-25.88798,"Nest never observed with full clutch.",2009,710.63
"Adelie Penguin","Dream","Yes",2009-11-14,40.2,17.1,193,3400,"FEMALE",9.2881,-25.54976,NA,2009,687.42
"Adelie Penguin","Dream","Yes",2009-11-14,40.6,17.2,187,3475,"MALE",9.23408,-26.01549,NA,2009,698.32
"Adelie Penguin","Dream","Yes",2009-11-16,32.1,15.5,188,3050,"FEMALE",8.79787,-26.61075,NA,2009,497.55
"Adelie Penguin","Dream","Yes",2009-11-16,40.7,17,190,3725,"MALE",9.05674,-25.79529,NA,2009,691.9
"Adelie Penguin","Dream","Yes",2009-11-16,37.3,16.8,192,3000,"FEMALE",9.06829,-25.85203,NA,2009,626.64
"Adelie Penguin","Dream","Yes",2009-11-16,39,18.7,185,3650,"MALE",9.22033,-26.03442,NA,2009,729.3
"Adelie Penguin","Dream","Yes",2009-11-13,39.2,18.6,190,4250,"MALE",9.11006,-25.79549,NA,2009,729.12
"Adelie Penguin","Dream","Yes",2009-11-13,36.6,18.4,184,3475,"FEMALE",8.68744,-25.8306,NA,2009,673.44
"Adelie Penguin","Dream","Yes",2009-11-17,36,17.8,195,3450,"FEMALE",8.94332,-25.79189,NA,2009,640.8
"Adelie Penguin","Dream","Yes",2009-11-17,37.8,18.1,193,3750,"MALE",8.97533,-26.03495,NA,2009,684.18
"Adelie Penguin","Dream","Yes",2009-11-17,36,17.1,187,3700,"FEMALE",8.93465,-26.07081,NA,2009,615.6
"Adelie Penguin","Dream","Yes",2009-11-17,41.5,18.5,201,4000,"MALE",8.8964,-26.06967,NA,2009,767.75
"Chinstrap penguin","Dream","No",2007-11-19,46.5,17.9,192,3500,"FEMALE",9.03935,-24.30229,NA,2007,832.35
"Chinstrap penguin","Dream","No",2007-11-19,50,19.5,196,3900,"MALE",8.92069,-24.23592,NA,2007,975
"Chinstrap penguin","Dream","Yes",2007-11-26,51.3,19.2,193,3650,"MALE",9.29078,-24.7557,NA,2007,984.96
"Chinstrap penguin","Dream","Yes",2007-11-26,45.4,18.7,188,3525,"FEMALE",8.64701,-24.62717,NA,2007,848.98
"Chinstrap penguin","Dream","Yes",2007-11-21,52.7,19.8,197,3725,"MALE",9.00642,-24.61867,NA,2007,1043.46
"Chinstrap penguin","Dream","Yes",2007-11-21,45.2,17.8,198,3950,"FEMALE",8.88942,-24.49433,NA,2007,804.56
"Chinstrap penguin","Dream","Yes",2007-11-28,46.1,18.2,178,3250,"FEMALE",8.85664,-24.55644,NA,2007,839.02
"Chinstrap penguin","Dream","Yes",2007-11-28,51.3,18.2,197,3750,"MALE",8.63701,-24.84059,NA,2007,933.66
"Chinstrap penguin","Dream","Yes",2007-11-21,46,18.9,195,4150,"FEMALE",8.47173,-24.29229,NA,2007,869.4
"Chinstrap penguin","Dream","Yes",2007-11-21,51.3,19.9,198,3700,"MALE",8.79581,-24.36088,NA,2007,1020.87
"Chinstrap penguin","Dream","Yes",2007-11-28,46.6,17.8,193,3800,"FEMALE",8.95063,-24.59897,NA,2007,829.48
"Chinstrap penguin","Dream","Yes",2007-11-28,51.7,20.3,194,3775,"MALE",8.68747,-24.38751,NA,2007,1049.51
"Chinstrap penguin","Dream","Yes",2007-11-26,47,17.3,185,3700,"FEMALE",8.72037,-24.80526,NA,2007,813.1
"Chinstrap penguin","Dream","Yes",2007-11-26,52,18.1,201,4050,"MALE",9.0233,-24.38933,NA,2007,941.2
"Chinstrap penguin","Dream","Yes",2007-11-22,45.9,17.1,190,3575,"FEMALE",9.12277,-24.90024,NA,2007,784.89
"Chinstrap penguin","Dream","Yes",2007-11-22,50.5,19.6,201,4050,"MALE",9.8059,-24.7294,NA,2007,989.8
"Chinstrap penguin","Dream","No",2007-11-30,50.3,20,197,3300,"MALE",10.02019,-24.54704,NA,2007,1006
"Chinstrap penguin","Dream","No",2007-11-30,58,17.8,181,3700,"FEMALE",9.14382,-24.57994,NA,2007,1032.4
"Chinstrap penguin","Dream","Yes",2007-11-30,46.4,18.6,190,3450,"FEMALE",9.32105,-24.64162,NA,2007,863.04
"Chinstrap penguin","Dream","Yes",2007-11-30,49.2,18.2,195,4400,"MALE",9.27158,-24.64335,NA,2007,895.44
"Chinstrap penguin","Dream","Yes",2007-12-03,42.4,17.3,181,3600,"FEMALE",9.35138,-24.6879,NA,2007,733.52
"Chinstrap penguin","Dream","Yes",2007-12-03,48.5,17.5,191,3400,"MALE",9.42666,-24.26375,NA,2007,848.75
"Chinstrap penguin","Dream","No",2007-11-28,43.2,16.6,187,2900,"FEMALE",9.35416,-25.01185,NA,2007,717.12
"Chinstrap penguin","Dream","No",2007-11-28,50.6,19.4,193,3800,"MALE",9.28153,-24.97134,NA,2007,981.64
"Chinstrap penguin","Dream","No",2007-11-28,46.7,17.9,195,3300,"FEMALE",9.74144,-24.59467,NA,2007,835.93
"Chinstrap penguin","Dream","No",2007-11-28,52,19,197,4150,"MALE",9.36799,-24.47142,NA,2007,988
"Chinstrap penguin","Dream","No",2008-11-25,50.5,18.4,200,3400,"FEMALE",8.9399,-23.89017,NA,2008,929.2
"Chinstrap penguin","Dream","No",2008-11-25,49.5,19,200,3800,"MALE",9.63074,-24.34684,NA,2008,940.5
"Chinstrap penguin","Dream","Yes",2008-11-14,46.4,17.8,191,3700,"FEMALE",9.37369,-24.52896,NA,2008,825.92
"Chinstrap penguin","Dream","Yes",2008-11-14,52.8,20,205,4550,"MALE",9.25177,-24.69638,NA,2008,1056
"Chinstrap penguin","Dream","Yes",2008-11-24,40.9,16.6,187,3200,"FEMALE",9.08458,-24.54903,NA,2008,678.94
"Chinstrap penguin","Dream","Yes",2008-11-24,54.2,20.8,201,4300,"MALE",9.49283,-24.59996,NA,2008,1127.36
"Chinstrap penguin","Dream","Yes",2008-11-24,42.5,16.7,187,3350,"FEMALE",9.36668,-24.45195,NA,2008,709.75
"Chinstrap penguin","Dream","Yes",2008-11-24,51,18.8,203,4100,"MALE",9.23196,-24.17282,NA,2008,958.8
"Chinstrap penguin","Dream","Yes",2008-11-25,49.7,18.6,195,3600,"MALE",9.75486,-24.31198,NA,2008,924.42
"Chinstrap penguin","Dream","Yes",2008-11-25,47.5,16.8,199,3900,"FEMALE",9.07825,-25.1455,NA,2008,798
"Chinstrap penguin","Dream","Yes",2008-11-14,47.6,18.3,195,3850,"FEMALE",8.83502,-24.65859,NA,2008,871.08
"Chinstrap penguin","Dream","Yes",2008-11-14,52,20.7,210,4800,"MALE",9.43146,-24.6844,NA,2008,1076.4
"Chinstrap penguin","Dream","No",2008-11-24,46.9,16.6,192,2700,"FEMALE",9.80589,-24.73735,NA,2008,778.54
"Chinstrap penguin","Dream","No",2008-11-24,53.5,19.9,205,4500,"MALE",10.02544,-24.90816,NA,2008,1064.65
"Chinstrap penguin","Dream","Yes",2008-11-24,49,19.5,210,3950,"MALE",9.53262,-24.66867,NA,2008,955.5
"Chinstrap penguin","Dream","Yes",2008-11-24,46.2,17.5,187,3650,"FEMALE",9.61734,-24.66188,NA,2008,808.5
"Chinstrap penguin","Dream","Yes",2008-11-14,50.9,19.1,196,3550,"MALE",10.02372,-24.86594,NA,2008,972.19
"Chinstrap penguin","Dream","Yes",2008-11-14,45.5,17,196,3500,"FEMALE",9.36493,-24.66259,NA,2008,773.5
"Chinstrap penguin","Dream","Yes",2009-11-17,50.9,17.9,196,3675,"FEMALE",9.43684,-24.16566,NA,2009,911.11
"Chinstrap penguin","Dream","Yes",2009-11-17,50.8,18.5,201,4450,"MALE",9.45827,-24.35575,NA,2009,939.8
"Chinstrap penguin","Dream","Yes",2009-11-27,50.1,17.9,190,3400,"FEMALE",9.46819,-24.45721,NA,2009,896.79
"Chinstrap penguin","Dream","Yes",2009-11-27,49,19.6,212,4300,"MALE",9.34089,-24.45189,NA,2009,960.4
"Chinstrap penguin","Dream","Yes",2009-11-23,51.5,18.7,187,3250,"MALE",9.6895,-24.43062,NA,2009,963.05
"Chinstrap penguin","Dream","Yes",2009-11-23,49.8,17.3,198,3675,"FEMALE",9.32169,-24.41562,NA,2009,861.54
"Chinstrap penguin","Dream","Yes",2009-11-21,48.1,16.4,199,3325,"FEMALE",9.46929,-24.48403,NA,2009,788.84
"Chinstrap penguin","Dream","Yes",2009-11-21,51.4,19,201,3950,"MALE",9.43782,-24.36202,NA,2009,976.6
"Chinstrap penguin","Dream","Yes",2009-11-23,45.7,17.3,193,3600,"FEMALE",9.415,-24.805,NA,2009,790.61
"Chinstrap penguin","Dream","Yes",2009-11-23,50.7,19.7,203,4050,"MALE",9.93727,-24.59066,NA,2009,998.79
"Chinstrap penguin","Dream","Yes",2009-11-27,42.5,17.3,187,3350,"FEMALE",9.56534,-24.60882,NA,2009,735.25
"Chinstrap penguin","Dream","Yes",2009-11-27,52.2,18.8,197,3450,"MALE",9.77528,-24.56481,NA,2009,981.36
